feature,importance,importance_pct
avg_rank,266,23.231441048034934
total_streams,209,18.253275109170307
weeks_on_chart,191,16.681222707423583
past_appearances,138,12.05240174672489
best_rank,132,11.528384279475983
top10_weeks,120,10.480349344978166
prev_year_appeared,41,3.5807860262008733
consecutive_years,27,2.3580786026200875
top1_weeks,21,1.8340611353711789
has_spotify_data,0,0.0
