kouhaku_name,rank,spotify_id,spotify_name,followers,popularity,similarity,score
もも,4,2NA8TfKSIneO6LqfRlRmm5,おかあさんといっしょ,27460,48,0.0,38.6230022838603
もも,5,0IwZVmMMGE7nNXS7vN9SIo,MISAMO,1068085,56,0.0,37.03688206836947
南こうせつ,1,0Z1KTtwB0NL21ejwhldOCK,加山雄三 with 南こうせつ,7,0,0.5555555555555556,35.84407096514046
南こうせつ,2,5KLvrcsAUwqMOqxErwSJmD,Koji Tamaki,403514,56,0.0,35.2251083168052
南こうせつ,3,3EAqVJtaxnPcWYlHXkHcuC,Anzen Chitai,352350,55,0.0,34.77274689642837
南こうせつ,4,5hHNaYRpbcz1qo09jeVcg8,Tsuyoshi Nagabuchi,272139,52,0.0,33.69196050542385
南こうせつ,5,47qUQ1YSIuAvBgmBqSX5gR,Kaguyahime,55323,38,0.0,27.92673881097221
イルカ,1,5F14oggNO5Nvl08UsULzaT,イルカポリス 海豚刑警,39578,27,0.46153846153846156,53.56491207940028
イルカ,2,36cgvBn0aadzOijnjjwqMN,ILLIT,3998908,77,0.0,43.69403462606153
イルカ,3,4GViwrzVkJscbEqmnDg855,イルカの夢でさようなら,1139,9,0.42857142857142855,42.04224453176757
イルカ,4,1qM11R4ylJyQiPJ0DffE9z,Lilas,888436,66,0.0,38.69411206339555
イルカ,5,6le80R1opKnTlP4o3KvA2k,Uru,1154173,62,0.0,38.38116104490777
西野カナ,1,2rUfBClgdqQ4Svcg0A6gIl,乃紫,131398,58,0.0,43.53680894960301
西野カナ,2,4DDoAL8n6ob19r3jOZEbJI,Kana Nishino,2027423,63,0.0,39.629761581509
西野カナ,3,08lN7bm4Etec8ETFxaTUmq,Nogizaka46,1306533,62,0.0,38.61194450060904
西野カナ,4,7fmXV2O48buswss04YetaN,HANA,504894,70,0.0,38.442286613036046
西野カナ,5,3PWp9R5HvbQgxI5KBx5kVd,KANA-BOON,1067217,63,0.0,38.43536886268553
髙橋真梨子,1,4ws2inM1n8fx4JijwRqHzS,広橋真紀子,18471,53,0.6,62.88495889276205
髙橋真梨子,2,01O1K2of8wkNZJhWRlRFcT,舟津真翔,79726,51,0.2222222222222222,50.095745925834535
髙橋真梨子,3,3WwGRA2o4Ux1RRMYaYDh7N,Mariya Takeuchi,1054026,60,0.0,37.81221995953288
髙橋真梨子,4,3vVDusnDA0LcPH3NvZpoyM,Noriyuki Makihara,1036871,59,0.0,37.58167740557528
髙橋真梨子,5,3E5NLQpQbd0eJ18XO9zC0h,Seiko Matsuda,490432,56,0.0,35.58819485517389
