artist,artist_normalized,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks,has_spotify_data,past_appearances,prev_year_appeared,consecutive_years,appeared
ATARASHII GAKKO!,ATARASHII GAKKO!,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
ATARASHII GAKKO!,ATARASHII GAKKO!,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
ATARASHII GAKKO!,ATARASHII GAKKO!,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
ATARASHII GAKKO!,ATARASHII GAKKO!,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
ATARASHII GAKKO!,ATARASHII GAKKO!,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
ATARASHII GAKKO!,ATARASHII GAKKO!,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
ATARASHII GAKKO!,ATARASHII GAKKO!,2022,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
ATARASHII GAKKO!,ATARASHII GAKKO!,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,1
ATARASHII GAKKO!,ATARASHII GAKKO!,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,1,1,1,0
Ado,Ado,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ado,Ado,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ado,Ado,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ado,Ado,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ado,Ado,2020,5.0,1463601.0,59.0,96.0,0.0,0.0,1,0,0,0,0
Ado,Ado,2021,143.0,126196754.0,4.0,31.762237762237763,22.0,0.0,1,0,0,0,0
Ado,Ado,2022,305.0,224827465.0,1.0,72.27540983606558,65.0,10.0,1,0,0,0,0
Ado,Ado,2023,230.0,161551252.0,1.0,89.15652173913044,19.0,12.0,1,0,0,0,1
Ado,Ado,2024,127.0,89691077.0,2.0,90.66141732283464,8.0,0.0,1,1,1,1,0
Ai Otsuka,Ai Otsuka,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ai Otsuka,Ai Otsuka,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ai Otsuka,Ai Otsuka,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ai Otsuka,Ai Otsuka,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ai Otsuka,Ai Otsuka,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ai Otsuka,Ai Otsuka,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ai Otsuka,Ai Otsuka,2022,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ai Otsuka,Ai Otsuka,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ai Otsuka,Ai Otsuka,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AiNA THE END,AiNA THE END,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AiNA THE END,AiNA THE END,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AiNA THE END,AiNA THE END,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AiNA THE END,AiNA THE END,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AiNA THE END,AiNA THE END,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AiNA THE END,AiNA THE END,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AiNA THE END,AiNA THE END,2022,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AiNA THE END,AiNA THE END,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AiNA THE END,AiNA THE END,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Aimer,Aimer,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Aimer,Aimer,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Aimer,Aimer,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Aimer,Aimer,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Aimer,Aimer,2020,31.0,4604444.0,77.0,120.25806451612904,0.0,0.0,1,0,0,0,0
Aimer,Aimer,2021,6.0,5495432.0,3.0,71.83333333333333,3.0,0.0,1,0,0,0,0
Aimer,Aimer,2022,98.0,62188366.0,1.0,85.5,17.0,4.0,1,0,0,0,1
Aimer,Aimer,2023,66.0,33107934.0,39.0,111.07575757575758,0.0,0.0,1,1,1,1,0
Aimer,Aimer,2024,7.0,2195390.0,152.0,179.57142857142858,0.0,0.0,1,1,0,0,0
Aimyon,Aimyon,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
