artist,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks
Conton Candy,2023,28,22538884,14,67.07142857142857,0,0
Conton Candy,2024,1,315245,154,154.0,0,0
Creep Hyp,2020,24,2802496,146,174.04166666666666,0,0
Creep Hyp,2022,27,6363918,106,149.8148148148148,0,0
Creep Hyp,2023,25,7352277,110,173.32,0,0
Creep Hyp,2025,32,12415645,127,164.90625,0,0
Creepy Nuts,2021,18,4214046,103,131.72222222222223,0,0
Creepy Nuts,2022,93,35571664,53,79.48387096774194,0,0
Creepy Nuts,2023,73,22758529,103,153.05479452054794,0,0
Creepy Nuts,2024,158,202411323,1,66.5126582278481,49,19
Creepy Nuts,2025,98,70216035,6,84.72448979591837,1,0
DISH//,2020,69,51123529,6,36.91304347826087,13,0
DISH//,2021,113,82878651,11,43.283185840707965,0,0
DISH//,2022,127,50256921,35,96.56692913385827,0,0
DISH//,2023,58,18887746,108,145.6206896551724,0,0
DISH//,2024,8,2551946,155,174.625,0,0
DISH//,2025,5,1869620,167,182.8,0,0
DREAMS COME TRUE,2020,37,4941021,97,161.43243243243242,0,0
DREAMS COME TRUE,2021,13,2487964,162,184.6153846153846,0,0
DREAMS COME TRUE,2022,41,9386945,92,153.6341463414634,0,0
DREAMS COME TRUE,2023,25,7211161,161,183.72,0,0
DREAMS COME TRUE,2024,21,7207825,129,166.8095238095238,0,0
DREAMS COME TRUE,2025,11,4110820,116,172.27272727272728,0,0
Da-iCE,2020,3,485008,185,191.0,0,0
Da-iCE,2021,50,30636341,15,66.36,0,0
Da-iCE,2022,60,49017098,9,37.983333333333334,11,0
Da-iCE,2023,84,29556367,55,130.5,0,0
Da-iCE,2024,117,86028227,3,108.6068376068376,16,0
Da-iCE,2025,116,80499005,4,90.05172413793103,4,0
Ed Sheeran,2020,53,11785625,41,84.32075471698113,0,0
Ed Sheeran,2021,52,12598450,86,116.53846153846153,0,0
Ed Sheeran,2022,51,12651527,89,142.4313725490196,0,0
Ed Sheeran,2023,52,16406396,124,156.07692307692307,0,0
Ed Sheeran,2024,52,20935204,67,132.55769230769232,0,0
Ed Sheeran,2025,48,20609909,94,131.39583333333334,0,0
Eito,2020,36,48051349,2,6.277777777777778,29,0
Eito,2021,41,20450616,17,84.34146341463415,0,0
Eve,2020,1,1084722,13,13.0,0,0
Eve,2021,51,43407347,8,32.6078431372549,11,0
Eve,2022,39,17952974,36,97.2051282051282,0,0
Eve,2023,10,2832061,176,188.4,0,0
Eve,2024,1,278185,194,194.0,0,0
FRUITS ZIPPER,2024,20,10528483,54,96.9,0,0
FRUITS ZIPPER,2025,39,20577580,52,93.3076923076923,0,0
Fujii Kaze,2020,37,7980016,62,104.43243243243244,0,0
Fujii Kaze,2021,103,62441809,4,93.13592233009709,29,0
Fujii Kaze,2022,104,84280952,6,51.03846153846154,14,0
Fujii Kaze,2023,159,111607475,7,72.0754716981132,6,0
Fujii Kaze,2024,201,126168284,3,86.46268656716418,7,0
Fujii Kaze,2025,241,132196517,15,101.36929460580913,0,0
GEMN,2024,25,28069895,11,32.76,0,0
GEMN,2025,8,3283205,86,137.125,0,0
GReeeeN,2020,106,18825675,39,120.23584905660377,0,0
GReeeeN,2021,100,19690188,126,158.86,0,0
GReeeeN,2022,53,11332350,122,167.9245283018868,0,0
GReeeeN,2023,24,7817363,114,167.20833333333334,0,0
GReeeeN,2024,77,29768232,79,143.41558441558442,0,0
GReeeeN,2025,96,41875945,68,130.35416666666666,0,0
Gen Hoshino,2021,36,21817364,13,61.111111111111114,0,0
Gen Hoshino,2022,68,30867999,6,97.91176470588235,7,0
Gen Hoshino,2023,5,1500752,100,150.4,0,0
HANA,2025,166,205035915,1,31.698795180722893,54,4
HENTAI SHINSHI CLUB,2020,5,763223,187,193.4,0,0
HENTAI SHINSHI CLUB,2021,52,27811029,15,83.90384615384616,0,0
HENTAI SHINSHI CLUB,2022,52,36028714,26,49.92307692307692,0,0
HENTAI SHINSHI CLUB,2023,15,4407439,93,159.26666666666668,0,0
HIRAIDAI,2020,147,39941241,4,118.7687074829932,9,0
HIRAIDAI,2021,193,93710925,6,87.5440414507772,7,0
HIRAIDAI,2022,132,49735075,27,102.49242424242425,0,0
HIRAIDAI,2023,51,17513134,97,138.90196078431373,0,0
HIRAIDAI,2024,52,19506313,98,151.46153846153845,0,0
HIRAIDAI,2025,100,49616241,52,109.2,0,0
HUNTR/X,2025,20,20238873,15,38.8,0,0
HY,2020,53,16337699,26,69.20754716981132,0,0
HY,2021,17,3042166,144,163.35294117647058,0,0
HY,2025,46,20502526,61,128.45652173913044,0,0
Haruma Miura,2020,23,12925660,16,49.65217391304348,0,0
Haruma Miura,2021,10,1959637,102,140.2,0,0
Hikaru Utada,2021,49,29225461,5,78.3061224489796,8,0
Hikaru Utada,2022,43,20244716,16,92.25581395348837,0,0
Hikaru Utada,2023,40,17986268,41,122.375,0,0
Hikaru Utada,2024,53,21194916,88,133.28301886792454,0,0
Hikaru Utada,2025,24,10298934,83,137.125,0,0
Hitsujibungaku,2023,17,16224921,11,31.176470588235293,0,0
Hitsujibungaku,2024,24,19376569,11,76.16666666666667,0,0
Hitsujibungaku,2025,1,367735,193,193.0,0,0
Hoshimachi Suisei,2024,37,30625986,16,72.97297297297297,0,0
Hoshimachi Suisei,2025,2,673055,179,180.5,0,0
ILLIT,2024,40,63870543,2,19.1,17,0
ILLIT,2025,73,42121368,17,99.58904109589041,0,0
IVE,2021,4,3325727,27,34.75,0,0
IVE,2022,110,69992718,9,61.236363636363635,2,0
IVE,2023,124,53243127,20,114.05645161290323,0,0
IVE,2024,17,5930520,129,156.2941176470588,0,0
JENNIE,2025,30,19287382,26,94.53333333333333,0,0
JO1,2024,20,13399971,31,89.85,0,0
JO1,2025,4,1425225,152,170.0,0,0
Jimin,2023,39,15848199,63,106.38461538461539,0,0
Jimin,2024,64,72561362,1,62.53125,23,2
Jimin,2025,72,89239885,3,40.486111111111114,37,0
Jin,2024,6,12366582,2,4.833333333333333,5,0
Jin,2025,49,95426979,1,13.16326530612245,28,12
Jung Kook,2023,45,74768710,1,13.488888888888889,25,1
Jung Kook,2024,104,84988851,7,70.35576923076923,3,0
Jung Kook,2025,50,27442830,46,89.94,0,0
KAMI WA SAIKORO WO FURANAI,2020,36,9581166,56,74.83333333333333,0,0
KAMI WA SAIKORO WO FURANAI,2021,20,4036688,97,140.35,0,0
Kanaria,2022,2,571213,150,166.0,0,0
Kanaria,2023,48,24214115,51,78.1875,0,0
Kanaria,2024,33,12678597,107,143.0909090909091,0,0
Kenshi Yonezu,2020,92,62157868,2,66.71739130434783,18,0
Kenshi Yonezu,2021,216,95696026,7,99.875,4,0
Kenshi Yonezu,2022,192,86817781,1,118.40625,15,2
Kenshi Yonezu,2023,230,143940463,2,101.01304347826087,20,0
Kenshi Yonezu,2024,221,127378539,5,114.43438914027149,10,0
Kenshi Yonezu,2025,314,262495516,1,99.14649681528662,27,10
Kep1er,2022,46,28006661,13,69.3695652173913,0,0
Kep1er,2023,1,253372,169,169.0,0,0
King Gnu,2020,271,145200549,2,51.306273062730625,44,0
King Gnu,2021,133,70944458,1,82.27067669172932,4,1
King Gnu,2022,271,193457620,1,55.69741697416974,36,5
King Gnu,2023,260,144482142,1,102.88076923076923,17,3
King Gnu,2024,186,110255573,4,108.17204301075269,7,0
King Gnu,2025,163,86723839,2,128.93865030674846,5,0
Kocchi no Kento,2024,27,32464382,14,26.48148148148148,0,0
Kocchi no Kento,2025,19,13607771,19,84.94736842105263,0,0
Koresawa,2024,15,14457137,17,43.8,0,0
Koresawa,2025,5,1941197,96,142.6,0,0
Kyanai,2022,37,23931974,17,47.648648648648646,0,0
Kyanai,2023,20,6854714,53,129.95,0,0
LANA,2023,27,13349710,22,96.29629629629629,0,0
LANA,2024,15,7148799,63,98.8,0,0
LANA,2025,18,6580897,151,179.11111111111111,0,0
LE SSERAFIM,2022,46,29140875,17,58.45652173913044,0,0
LE SSERAFIM,2023,144,86028530,7,80.52083333333333,5,0
LE SSERAFIM,2024,157,102010274,10,91.92993630573248,1,0
LE SSERAFIM,2025,34,14284535,60,141.23529411764707,0,0
Lady Gaga,2024,19,8686694,68,103.73684210526316,0,0
Lady Gaga,2025,16,6617151,100,136.3125,0,0
Leo Ieiri,2020,43,20087354,20,46.76744186046512,0,0
Leo Ieiri,2021,20,4398024,74,128.9,0,0
LiSA,2020,71,69606833,1,16.676056338028168,39,4
LiSA,2021,135,93623140,3,56.20740740740741,14,0
LiSA,2022,48,12340409,60,129.10416666666666,0,0
LiSA,2025,5,1807556,180,185.6,0,0
Lilas,2021,37,10549439,74,99.0,0,0
Lilas,2022,95,34294565,51,88.7578947368421,0,0
Lilas,2023,54,24300371,37,102.92592592592592,0,0
Lilas,2024,6,1934082,151,171.83333333333334,0,0
Lilas,2025,73,60184286,11,69.58904109589041,0,0
MAISONdes,2021,22,20313007,10,26.318181818181817,3,0
MAISONdes,2022,59,31038514,25,87.61016949152543,0,0
MAISONdes,2023,41,25273340,25,84.3170731707317,0,0
MAN WITH A MISSION,2023,38,32083292,6,62.473684210526315,11,0
MAN WITH A MISSION,2024,15,5598500,82,142.0,0,0
MAN WITH A MISSION,2025,7,2671270,137,159.71428571428572,0,0
MILLENNIUM PARADE,2021,25,15075267,10,68.0,2,0
MILLENNIUM PARADE,2022,6,1490888,83,128.5,0,0
MISAMO,2024,11,13339157,8,26.727272727272727,2,0
MISAMO,2025,12,8381591,33,84.25,0,0
MISIA,2020,45,7999702,54,108.13333333333334,0,0
MISIA,2021,21,4038208,141,163.33333333333334,0,0
MISIA,2022,52,12799662,108,145.32692307692307,0,0
MISIA,2023,17,4994171,104,159.2941176470588,0,0
MISIA,2025,4,1552746,172,182.0,0,0
MONGOL800,2020,53,15537955,25,71.67924528301887,0,0
MONGOL800,2021,50,9462856,138,166.18,0,0
MONGOL800,2022,37,8335448,122,166.24324324324326,0,0
MONGOL800,2023,45,14413838,114,152.2,0,0
MONGOL800,2024,48,18170430,83,150.1875,0,0
MONGOL800,2025,46,19843784,71,133.08695652173913,0,0
