artist,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks
Novelbright,2023,105,60124881,18,97.04761904761905,0,0
Novelbright,2024,147,68639542,52,107.31292517006803,0,0
Novelbright,2025,144,71792441,59,100.48611111111111,0,0
Number_i,2024,52,59267139,5,28.596153846153847,1,0
Number_i,2025,39,35992841,30,43.205128205128204,0,0
OFFICIAL HIGE DANDISM,2020,210,206461436,1,10.957142857142857,145,20
OFFICIAL HIGE DANDISM,2021,242,186677285,4,44.21900826446281,23,0
OFFICIAL HIGE DANDISM,2022,309,229873381,1,62.41423948220065,30,12
OFFICIAL HIGE DANDISM,2023,355,240948999,1,78.28169014084507,31,14
OFFICIAL HIGE DANDISM,2024,278,130513065,17,118.18345323741008,0,0
OFFICIAL HIGE DANDISM,2025,187,81355338,67,133.01069518716577,0,0
ONE OK ROCK,2020,53,18170004,33,56.905660377358494,0,0
ONE OK ROCK,2021,52,13199002,70,112.34615384615384,0,0
ONE OK ROCK,2022,38,8105701,121,173.23684210526315,0,0
ONE OK ROCK,2023,11,3379527,171,186.45454545454547,0,0
ONE OK ROCK,2024,27,9472107,128,173.07407407407408,0,0
ONE OK ROCK,2025,44,18009632,102,145.13636363636363,0,0
Omoinotake,2024,48,86556396,2,11.3125,32,0
Omoinotake,2025,48,53050678,12,29.479166666666668,0,0
Ryokuoushoku Shakai,2020,36,8507248,53,102.58333333333333,0,0
Ryokuoushoku Shakai,2021,52,23088036,47,58.23076923076923,0,0
Ryokuoushoku Shakai,2022,52,41948061,22,33.23076923076923,0,0
Ryokuoushoku Shakai,2023,52,28702796,29,71.57692307692308,0,0
Ryokuoushoku Shakai,2024,52,22129046,78,117.40384615384616,0,0
Ryokuoushoku Shakai,2025,48,20711171,98,129.0625,0,0
SPITZ,2020,53,8816086,67,125.54716981132076,0,0
SPITZ,2021,43,8517636,115,163.1860465116279,0,0
SPITZ,2022,50,17717916,56,87.72,0,0
SPITZ,2023,90,80745412,2,54.87777777777778,22,0
SPITZ,2024,104,78976628,21,60.82692307692308,0,0
SPITZ,2025,96,50086377,56,91.15625,0,0
SUDA MASAKI,2020,7,9518253,5,11.857142857142858,6,0
SUDA MASAKI,2021,52,50158361,5,22.884615384615383,12,0
SUDA MASAKI,2022,52,21938728,42,102.5,0,0
SUDA MASAKI,2023,24,7036694,89,172.95833333333334,0,0
Saucy Dog,2020,51,9431690,80,117.6078431372549,0,0
Saucy Dog,2021,50,15261947,19,125.12,0,0
Saucy Dog,2022,104,96703964,2,32.61538461538461,48,0
Saucy Dog,2023,104,75578680,8,65.63461538461539,8,0
Saucy Dog,2024,95,43483136,37,118.50526315789473,0,0
Saucy Dog,2025,84,40020202,58,114.76190476190476,0,0
